Algorithm,Frames,PageFaults,HitRate,TestFile
FIFO,5,94,6.00,test_cases/test_5frames_4.txt
Optimal,5,74,26.00,test_cases/test_5frames_4.txt
LRU,5,94,6.00,test_cases/test_5frames_4.txt
LFU,5,89,11.00,test_cases/test_5frames_4.txt
MFU,5,91,9.00,test_cases/test_5frames_4.txt
FIFO,5,91,9.00,test_cases/test_5frames_5.txt
Optimal,5,72,28.00,test_cases/test_5frames_5.txt
LRU,5,91,9.00,test_cases/test_5frames_5.txt
LFU,5,89,11.00,test_cases/test_5frames_5.txt
MFU,5,91,9.00,test_cases/test_5frames_5.txt
FIFO,3,9,25.00,test_cases/test_small_frames.txt
Optimal,3,7,41.67,test_cases/test_small_frames.txt
LRU,3,10,16.67,test_cases/test_small_frames.txt
LFU,3,9,25.00,test_cases/test_small_frames.txt
MFU,3,8,33.33,test_cases/test_small_frames.txt
